Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,,,,,,,99,97.1,96.3,94.8,96.3,,96,,97.6,,,
Cambodia,,,,,,44.2,,16.9,44.9,,56.1,65,54.3,52.5,55.6,53.6,53.3,52,,,60.7,63.6,,,
Indonesia,,,,,,86.1,86.7,87.4,,,,83.3,85.7,,85.9,,,77.4,,,,,,,
Lao People's Democratic Republic,,,33.9,32.2,36.9,,44.9,47.6,52.7,55.3,53,62.4,64,62.5,64,62.6,61.9,66.2,67.6,70.6,66.9,68.8,72.4,,
Malaysia,82.7,81.7,,85.3,,,,,,,,,97.5,,,89.1,92.1,95.6,97.4,98.7,98.8,98.5,,,
Myanmar,,,,,,,,,,,55.3,57.9,65.2,69.4,,,,,70.1,72.2,,,,,
Philippines,,,,,,,,,65.3,,,71.1,68.8,67.6,66.3,65.9,68.6,70.9,72,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,98.5,,,,,,
Thailand,,,,,,,,,,78.7,92,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,79.9,86.1,87.8,85.7,,,,,,,,,,94.5,,
