Countries and areas,Reference year(s),2004Primary ,2004Secondary ,2006Primary ,2006Secondary ,2007Primary ,2007Secondary ,2008Primary ,2008Secondary ,2009Primary ,2009Secondary ,2010Primary ,2010Secondary ,2011Primary ,2011Secondary ,2012Primary ,2012Secondary ,2013Primary ,2013Secondary ,2014Primary ,2014Secondary ,Source 
Brunei Darussalam,2004-2014,13,10,13,11,13,11,13,11,12,10,-,-,11,-,11,9,10,8,10,8,ASEAN Secretariat
Cambodia,2004-2014,55,24,53,,51,29,49,29,50,27,48,27,48,25,48,23,,,,,ASEAN Secretariat
Indonesia ,2004-2014,20,12,20,12,19,13,18,14,17,14,17,14,18,17,20,19,17,17,17,16,ASEAN Secretariat
Lao's PDR,2004-2014,31,26,31,25,31,23,30,23,31,15,29,16,27,14,26,13,,,,,ASEAN Secretariat
Malaysia ,2004-2014,,,17,17,,,15,15,14,14,13,13,13,13,12,13,,,,,ASEAN Secretariat
Myanmar,2004-2014,32,33,30,34,29,33,28,36,28,35,28,34,27,35,28,34,,,,,ASEAN Secretariat
Philippines,2004-2014,35,38,35,37,34,35,,,31,35,,,,,,,,,,,ASEAN Secretariat
Singapore,2004-2014,24,19,23,18,22,18,19,16,17,15,,,18,15,18,14,16,13,,,ASEAN Secretariat
Thailand,2004-2014,,,18,22,18,21,16,21,,,,,,20,,,,,,,ASEAN Secretariat
Viet Nam,2004-2014,23,24,21,23,20,21,19,17,19,16,19,16,19,16,19,15,19,16,19,16,ASEAN Secretariat
