Countries and areas,Reference year (s),2004Primary ,2004Secondary ,2006Primary ,2006Secondary ,2007Primary ,2007Secondary ,2008Primary ,2008Secondary ,2009Primary ,2009Secondary ,2010Primary ,2010Secondary ,2011Primary ,2011Secondary ,2012Primary ,2012Secondary ,2013Primary ,2013Secondary ,2014Primary ,2014Secondary ,2014,,Source 
Brunei Darussalam,2004-2014,100,105,92,97,91,98,91,98,92,97,93,96,93,96,94,88,93,88,94,89,94,89,ASEAN Secretariat
Cambodia,2004-2014,89,69,89,72,93,79,93,82,96,,90,84,91,86,,,,91,,94,,,ASEAN Secretariat
Indonesia ,2004-2014,98,99,100,103,96,100,96,101,,99,93,96,100,102,101,101,102,102,,,,,ASEAN Secretariat
Lao's PDR,2004-2014,88,76,85,76,89,78,90,79,96,81,,,93,58,,,,,,,,,ASEAN Secretariat
Malaysia ,2004-2014,95,105,92,79,94,100,94,99,94,99,94,99,94,99,95,99,94,99,94,99,,,ASEAN Secretariat
Myanmar,2004-2014,99,101,99,97,98,97,99,98,97,99,98,103,97,100,97,64,96,56,,,,,ASEAN Secretariat
Philippines,2004-2014,99,111,94,107,99,111,98,110,102,109,93,104,92,104,,,,,,,,,ASEAN Secretariat
Singapore,2004-2014,,,99,100,99,100,99,100,99,100,99,99,100,100,100,100,100,100,100,100,100,100,ASEAN Secretariat
Thailand,2004-2014,96,100,93,99,100,109,100,110,99,109,94,105,94,109,,,,106,,,,,ASEAN Secretariat
Viet Nam,2004-2014,94,95,93,94,95,91,94,,95,,,,93,96,,,92,94,92,95,92,95,ASEAN Secretariat
