Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brunei Darussalam,,98.11,,,,,,,,,,98.91,,,,,,,,,,,99.81
Cambodia,,,,,,,,,81.81,,,,,,87.91,,,,89.41,88.41,,,
Indonesia,97.41,,,,,,,,,,,,,,98.91,,97.01,,99.51,99.61,,98.81,
Lao People's Democratic Republic,,,,,,78.81,,,,,88.11,82.61,,,,89.21,,,,,,,
Malaysia,,95.91,,,,,,,,,97.21,,,,,,,,,,98.41,,
Myanmar,,,,,,,,,,,95.81,,,,,,,,,,,,96.21
Philippines,96.31,,,,,,,,,,94.51,,,93.61,,,,,97.01,,,,
Singapore,98.91,,,,,,,,,,99.41,,,,,,,,,,99.71,99.91,99.81
Thailand,,,,,,,,,,,98.11,,,,,98.21,,,,,96.61,,
Viet Nam,,,,,,,,,,94.21,95.61,,,,,,,,,97.41,,,
